elevation	MAT_North	MAP_North
600	11.08333302	666
700	11.13749981	666
800	10.27916718	690
900	10.27083302	693
1000	9.770833015	714
1100	9.404166222	728
1200	8.858333588	739
1300	8.516666412	747
1400	8.154166222	757
1500	7.645833492	766
1600	7.074999809	780
1700	6.983333111	784
1800	6.983333111	784
1900	6.25	797
2000	5.762499809	804
2100	5.762499809	804
2200	5.049999714	814
2300	4.25	832
2400	4.104166508	824
